station_id,name,estimated_segment_travel_min
YL-OTT,Ota,0
YL-MER,Meran,4.44
YL-ALI,Alimosho,4.44
YL-IPA,Ipaja,4.44
YL-ISH,Isheri Osun,4.44
YL-EJI,Ejigbo,4.44
YL-MAF,Mafoluku,4.44
YL-ISO,Isolo,4.44
YL-SUR,Surulere,4.44
YL-NAT,National Theatre,4.44
