station_id,name,estimated_segment_travel_min
RL-AGB,Agbado,0
RL-IJU,Iju,7.14
RL-AGG,Agege,7.14
RL-IKJ,Ikeja,7.14
RL-OSH,Oshodi,7.14
RL-MUS,Mushin,7.14
RL-YAB,Yaba,7.14
RL-OYI,Oyingbo,7.14
